epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,14754.8,0.59184,0.50707,0.95255,0.99462,0.96774,0.99149,0.88364,0.55576,0.36721,0.83359,0.0006734,0.0006734,0.0006734
69,14973.9,0.57835,0.47907,0.92591,0.99849,0.98387,0.99256,0.89421,0.54322,0.36216,0.83124,0.0006536,0.0006536,0.0006536
70,15193.3,0.53766,0.43918,0.92156,0.96867,0.99746,0.99436,0.89113,0.52443,0.35735,0.82975,0.0006338,0.0006338,0.0006338
71,15409.1,0.56503,0.48319,0.94045,0.98139,0.98387,0.99422,0.89779,0.53125,0.35279,0.82643,0.000614,0.000614,0.000614
72,15627.4,0.56403,0.47572,0.94794,0.99785,0.98387,0.99469,0.91027,0.50355,0.34814,0.8082,0.0005942,0.0005942,0.0005942
73,15842.4,0.5389,0.45487,0.92641,1,0.98252,0.99469,0.89831,0.51667,0.3474,0.8208,0.0005744,0.0005744,0.0005744
74,16058.3,0.54059,0.44198,0.91599,0.99989,1,0.995,0.90395,0.5078,0.33416,0.82674,0.0005546,0.0005546,0.0005546
75,16273.3,0.50755,0.42206,0.90013,0.99783,1,0.995,0.90979,0.49366,0.33258,0.8206,0.0005348,0.0005348,0.0005348
76,16488.8,0.55996,0.46993,0.92722,0.99629,1,0.995,0.89963,0.52766,0.34492,0.83496,0.000515,0.000515,0.000515
77,16705.1,0.54956,0.46946,0.93656,0.992,0.98387,0.99454,0.89758,0.52892,0.33782,0.836,0.0004952,0.0004952,0.0004952
78,16919.9,0.49281,0.41077,0.91713,0.99504,0.98387,0.99454,0.90413,0.50886,0.33429,0.83087,0.0004754,0.0004754,0.0004754
79,17134,0.49822,0.42895,0.91107,1,0.97758,0.99425,0.9028,0.51342,0.327,0.83191,0.0004556,0.0004556,0.0004556
80,17350.5,0.51224,0.45375,0.90906,0.98158,0.98387,0.99377,0.91497,0.50479,0.3297,0.82328,0.0004358,0.0004358,0.0004358
81,17567,0.50127,0.42025,0.90654,0.96864,0.99656,0.99406,0.90124,0.50406,0.33577,0.82123,0.000416,0.000416,0.000416
82,17782.1,0.4984,0.42081,0.90451,0.99686,0.98387,0.99412,0.9231,0.48189,0.32014,0.80782,0.0003962,0.0003962,0.0003962
83,17998.3,0.49825,0.42517,0.91019,0.99867,0.98387,0.99399,0.92022,0.49221,0.32361,0.80558,0.0003764,0.0003764,0.0003764
84,18214.4,0.48627,0.4413,0.90436,1,0.98282,0.99484,0.91057,0.48575,0.32898,0.8074,0.0003566,0.0003566,0.0003566
85,18434.6,0.48047,0.40301,0.90096,0.98405,0.99485,0.99452,0.90455,0.4876,0.34274,0.81154,0.0003368,0.0003368,0.0003368
86,18653.2,0.48514,0.40622,0.88036,0.98386,0.98313,0.99407,0.90548,0.49675,0.33447,0.81728,0.000317,0.000317,0.000317
87,18870.5,0.48772,0.41776,0.90827,0.98386,0.98319,0.99422,0.90814,0.48949,0.32884,0.81521,0.0002972,0.0002972,0.0002972
88,19088.4,0.50317,0.41783,0.91571,0.99666,0.96774,0.9939,0.89803,0.50669,0.33199,0.81958,0.0002774,0.0002774,0.0002774
89,19305.1,0.44853,0.38968,0.89129,0.99673,0.96774,0.99298,0.90105,0.50735,0.33749,0.82123,0.0002576,0.0002576,0.0002576
90,19522,0.47084,0.40933,0.89547,0.99667,0.98387,0.99316,0.90382,0.51008,0.33119,0.82435,0.0002378,0.0002378,0.0002378
91,19738.5,0.39455,0.34542,0.83903,1,0.97656,0.99412,0.90235,0.50538,0.33119,0.81517,0.000218,0.000218,0.000218
92,19955.3,0.40129,0.32667,0.83015,0.98384,0.98224,0.99366,0.89973,0.50456,0.34407,0.8143,0.0001982,0.0001982,0.0001982
93,20176.2,0.37976,0.31301,0.83956,0.98385,0.98256,0.99214,0.90206,0.49175,0.33812,0.8171,0.0001784,0.0001784,0.0001784
94,20397.9,0.36323,0.30644,0.81347,0.98386,0.98305,0.99204,0.90511,0.48909,0.34318,0.81301,0.0001586,0.0001586,0.0001586
95,20618.4,0.38235,0.30815,0.84323,0.98387,0.98354,0.99204,0.90953,0.48417,0.33332,0.81029,0.0001388,0.0001388,0.0001388
96,20837.5,0.34683,0.2843,0.83771,0.98387,0.98364,0.99162,0.91347,0.47549,0.33407,0.80906,0.000119,0.000119,0.000119
97,21059.1,0.37125,0.29097,0.83389,0.98383,0.98387,0.99204,0.91183,0.47313,0.33003,0.80919,9.92e-05,9.92e-05,9.92e-05
98,21279.4,0.35772,0.28767,0.83525,0.98282,0.98387,0.99278,0.91909,0.47264,0.31971,0.81016,7.94e-05,7.94e-05,7.94e-05
99,21502.7,0.35457,0.29184,0.82629,0.98281,0.98387,0.99253,0.91375,0.47305,0.31488,0.81208,5.96e-05,5.96e-05,5.96e-05
100,21723.4,0.35258,0.28277,0.82517,0.98276,0.98387,0.99273,0.91267,0.47464,0.31392,0.81354,3.98e-05,3.98e-05,3.98e-05
